,period,respondent,respondent-name,fueltype,type-name,value,value-units
255,2023-01-11T15,CAL,California,SUN,Solar,-29,megawatthours
256,2023-01-11T16,CAL,California,SUN,Solar,1398,megawatthours
257,2023-01-11T17,CAL,California,SUN,Solar,4528,megawatthours
258,2023-01-11T18,CAL,California,SUN,Solar,6937,megawatthours
259,2023-01-11T19,CAL,California,SUN,Solar,7450,megawatthours
260,2023-01-11T20,CAL,California,SUN,Solar,6689,megawatthours
261,2023-01-11T21,CAL,California,SUN,Solar,6600,megawatthours
262,2023-01-11T22,CAL,California,SUN,Solar,6033,megawatthours
263,2023-01-11T23,CAL,California,SUN,Solar,5023,megawatthours
264,2023-01-12T00,CAL,California,SUN,Solar,3143,megawatthours
265,2023-01-12T01,CAL,California,SUN,Solar,649,megawatthours
266,2023-01-12T02,CAL,California,SUN,Solar,-35,megawatthours
267,2023-01-12T03,CAL,California,SUN,Solar,-44,megawatthours
268,2023-01-12T04,CAL,California,SUN,Solar,-48,megawatthours
269,2023-01-12T05,CAL,California,SUN,Solar,-49,megawatthours
270,2023-01-12T06,CAL,California,SUN,Solar,-49,megawatthours
271,2023-01-12T07,CAL,California,SUN,Solar,-49,megawatthours
272,2023-01-12T08,CAL,California,SUN,Solar,-49,megawatthours
273,2023-01-12T09,CAL,California,SUN,Solar,-50,megawatthours
274,2023-01-12T10,CAL,California,SUN,Solar,-50,megawatthours
275,2023-01-12T11,CAL,California,SUN,Solar,-50,megawatthours
276,2023-01-12T12,CAL,California,SUN,Solar,-50,megawatthours
277,2023-01-12T13,CAL,California,SUN,Solar,-51,megawatthours
278,2023-01-12T14,CAL,California,SUN,Solar,-52,megawatthours
279,2023-01-12T15,CAL,California,SUN,Solar,-32,megawatthours
280,2023-01-12T16,CAL,California,SUN,Solar,1985,megawatthours
281,2023-01-12T17,CAL,California,SUN,Solar,5946,megawatthours
282,2023-01-12T18,CAL,California,SUN,Solar,8290,megawatthours
283,2023-01-12T19,CAL,California,SUN,Solar,9213,megawatthours
284,2023-01-12T20,CAL,California,SUN,Solar,9605,megawatthours
285,2023-01-12T21,CAL,California,SUN,Solar,8755,megawatthours
286,2023-01-12T22,CAL,California,SUN,Solar,7511,megawatthours
287,2023-01-12T23,CAL,California,SUN,Solar,6250,megawatthours
288,2023-01-13T00,CAL,California,SUN,Solar,3406,megawatthours
289,2023-01-13T01,CAL,California,SUN,Solar,695,megawatthours
290,2023-01-13T02,CAL,California,SUN,Solar,-16,megawatthours
291,2023-01-13T03,CAL,California,SUN,Solar,-26,megawatthours
292,2023-01-13T04,CAL,California,SUN,Solar,-35,megawatthours
293,2023-01-13T05,CAL,California,SUN,Solar,-39,megawatthours
294,2023-01-13T06,CAL,California,SUN,Solar,-38,megawatthours
295,2023-01-13T07,CAL,California,SUN,Solar,-39,megawatthours
296,2023-01-13T08,CAL,California,SUN,Solar,-39,megawatthours
297,2023-01-13T09,CAL,California,SUN,Solar,-39,megawatthours
298,2023-01-13T10,CAL,California,SUN,Solar,-39,megawatthours
299,2023-01-13T11,CAL,California,SUN,Solar,-39,megawatthours
300,2023-01-13T12,CAL,California,SUN,Solar,-40,megawatthours
301,2023-01-13T13,CAL,California,SUN,Solar,-40,megawatthours
302,2023-01-13T14,CAL,California,SUN,Solar,-40,megawatthours
303,2023-01-13T15,CAL,California,SUN,Solar,-20,megawatthours
304,2023-01-13T16,CAL,California,SUN,Solar,1091,megawatthours
305,2023-01-13T17,CAL,California,SUN,Solar,3790,megawatthours
306,2023-01-13T18,CAL,California,SUN,Solar,6256,megawatthours
307,2023-01-13T19,CAL,California,SUN,Solar,7579,megawatthours
308,2023-01-13T20,CAL,California,SUN,Solar,6978,megawatthours
309,2023-01-13T21,CAL,California,SUN,Solar,7043,megawatthours
310,2023-01-13T22,CAL,California,SUN,Solar,6234,megawatthours
311,2023-01-13T23,CAL,California,SUN,Solar,4971,megawatthours
312,2023-01-14T00,CAL,California,SUN,Solar,2981,megawatthours
313,2023-01-14T01,CAL,California,SUN,Solar,629,megawatthours
314,2023-01-14T02,CAL,California,SUN,Solar,-25,megawatthours
315,2023-01-14T03,CAL,California,SUN,Solar,-33,megawatthours
316,2023-01-14T04,CAL,California,SUN,Solar,-38,megawatthours
317,2023-01-14T05,CAL,California,SUN,Solar,-41,megawatthours
318,2023-01-14T06,CAL,California,SUN,Solar,-41,megawatthours
319,2023-01-14T07,CAL,California,SUN,Solar,-41,megawatthours
320,2023-01-14T08,CAL,California,SUN,Solar,-41,megawatthours
321,2023-01-14T09,CAL,California,SUN,Solar,-41,megawatthours
322,2023-01-14T10,CAL,California,SUN,Solar,-41,megawatthours
323,2023-01-14T11,CAL,California,SUN,Solar,-42,megawatthours
324,2023-01-14T12,CAL,California,SUN,Solar,-42,megawatthours
325,2023-01-14T13,CAL,California,SUN,Solar,-42,megawatthours
326,2023-01-14T14,CAL,California,SUN,Solar,-42,megawatthours
327,2023-01-14T15,CAL,California,SUN,Solar,-39,megawatthours
328,2023-01-14T16,CAL,California,SUN,Solar,321,megawatthours
329,2023-01-14T17,CAL,California,SUN,Solar,1016,megawatthours
330,2023-01-14T18,CAL,California,SUN,Solar,1616,megawatthours
331,2023-01-14T19,CAL,California,SUN,Solar,2153,megawatthours
332,2023-01-14T20,CAL,California,SUN,Solar,2351,megawatthours
333,2023-01-14T21,CAL,California,SUN,Solar,1876,megawatthours
334,2023-01-14T22,CAL,California,SUN,Solar,1818,megawatthours
335,2023-01-14T23,CAL,California,SUN,Solar,1280,megawatthours
336,2023-01-15T00,CAL,California,SUN,Solar,706,megawatthours
337,2023-01-15T01,CAL,California,SUN,Solar,145,megawatthours
338,2023-01-15T02,CAL,California,SUN,Solar,-45,megawatthours
339,2023-01-15T03,CAL,California,SUN,Solar,-42,megawatthours
340,2023-01-15T04,CAL,California,SUN,Solar,-42,megawatthours
341,2023-01-15T05,CAL,California,SUN,Solar,-42,megawatthours
342,2023-01-15T06,CAL,California,SUN,Solar,-42,megawatthours
343,2023-01-15T07,CAL,California,SUN,Solar,-42,megawatthours
344,2023-01-15T08,CAL,California,SUN,Solar,-42,megawatthours
345,2023-01-15T09,CAL,California,SUN,Solar,-47,megawatthours
346,2023-01-15T10,CAL,California,SUN,Solar,-49,megawatthours
347,2023-01-15T11,CAL,California,SUN,Solar,-49,megawatthours
348,2023-01-15T12,CAL,California,SUN,Solar,-50,megawatthours
349,2023-01-15T13,CAL,California,SUN,Solar,-50,megawatthours
350,2023-01-15T14,CAL,California,SUN,Solar,-50,megawatthours
351,2023-01-15T15,CAL,California,SUN,Solar,-49,megawatthours
352,2023-01-15T16,CAL,California,SUN,Solar,446,megawatthours
353,2023-01-15T17,CAL,California,SUN,Solar,1655,megawatthours
354,2023-01-15T18,CAL,California,SUN,Solar,3195,megawatthours
355,2023-01-15T19,CAL,California,SUN,Solar,5309,megawatthours
356,2023-01-15T20,CAL,California,SUN,Solar,5506,megawatthours
357,2023-01-15T21,CAL,California,SUN,Solar,4642,megawatthours
358,2023-01-15T22,CAL,California,SUN,Solar,3757,megawatthours
359,2023-01-15T23,CAL,California,SUN,Solar,2182,megawatthours
360,2023-01-16T00,CAL,California,SUN,Solar,931,megawatthours
361,2023-01-16T01,CAL,California,SUN,Solar,95,megawatthours
362,2023-01-16T02,CAL,California,SUN,Solar,-31,megawatthours
363,2023-01-16T03,CAL,California,SUN,Solar,-32,megawatthours
364,2023-01-16T04,CAL,California,SUN,Solar,-33,megawatthours
365,2023-01-16T05,CAL,California,SUN,Solar,-33,megawatthours
