,period,respondent,respondent-name,fueltype,type-name,value,value-units
222,2023-01-10T06,CAL,California,WND,Wind,2664,megawatthours
223,2023-01-10T07,CAL,California,WND,Wind,2909,megawatthours
224,2023-01-10T08,CAL,California,WND,Wind,2869,megawatthours
225,2023-01-10T09,CAL,California,WND,Wind,2788,megawatthours
226,2023-01-10T10,CAL,California,WND,Wind,2792,megawatthours
227,2023-01-10T11,CAL,California,WND,Wind,3275,megawatthours
228,2023-01-10T12,CAL,California,WND,Wind,3815,megawatthours
229,2023-01-10T13,CAL,California,WND,Wind,3845,megawatthours
230,2023-01-10T14,CAL,California,WND,Wind,3748,megawatthours
231,2023-01-10T15,CAL,California,WND,Wind,3438,megawatthours
232,2023-01-10T16,CAL,California,WND,Wind,3485,megawatthours
233,2023-01-10T17,CAL,California,WND,Wind,3845,megawatthours
234,2023-01-10T18,CAL,California,WND,Wind,3885,megawatthours
235,2023-01-10T19,CAL,California,WND,Wind,4306,megawatthours
236,2023-01-10T20,CAL,California,WND,Wind,4161,megawatthours
237,2023-01-10T21,CAL,California,WND,Wind,4037,megawatthours
238,2023-01-10T22,CAL,California,WND,Wind,4167,megawatthours
239,2023-01-10T23,CAL,California,WND,Wind,3861,megawatthours
240,2023-01-11T00,CAL,California,WND,Wind,3815,megawatthours
241,2023-01-11T01,CAL,California,WND,Wind,3377,megawatthours
242,2023-01-11T02,CAL,California,WND,Wind,3345,megawatthours
243,2023-01-11T03,CAL,California,WND,Wind,3155,megawatthours
244,2023-01-11T04,CAL,California,WND,Wind,3055,megawatthours
245,2023-01-11T05,CAL,California,WND,Wind,3152,megawatthours
246,2023-01-11T06,CAL,California,WND,Wind,3252,megawatthours
247,2023-01-11T07,CAL,California,WND,Wind,2722,megawatthours
248,2023-01-11T08,CAL,California,WND,Wind,2636,megawatthours
249,2023-01-11T09,CAL,California,WND,Wind,2417,megawatthours
250,2023-01-11T10,CAL,California,WND,Wind,2264,megawatthours
251,2023-01-11T11,CAL,California,WND,Wind,2153,megawatthours
252,2023-01-11T12,CAL,California,WND,Wind,1803,megawatthours
253,2023-01-11T13,CAL,California,WND,Wind,1576,megawatthours
254,2023-01-11T14,CAL,California,WND,Wind,1413,megawatthours
255,2023-01-11T15,CAL,California,WND,Wind,1366,megawatthours
256,2023-01-11T16,CAL,California,WND,Wind,1255,megawatthours
257,2023-01-11T17,CAL,California,WND,Wind,1229,megawatthours
258,2023-01-11T18,CAL,California,WND,Wind,1274,megawatthours
