,period,value
681,2023-12-02T15,25953
682,2023-12-02T14,25202
683,2023-12-02T13,25112
684,2023-12-02T12,25447
685,2023-12-02T11,26128
686,2023-12-02T10,26949
687,2023-12-02T09,27982
688,2023-12-02T08,29441
689,2023-12-02T07,30801
690,2023-12-02T06,31525
691,2023-12-02T05,32219
692,2023-12-02T04,32848
693,2023-12-02T03,33200
694,2023-12-02T02,31855
695,2023-12-02T01,30401
696,2023-12-02T00,29757
697,2023-12-01T23,29799
698,2023-12-01T22,29749
699,2023-12-01T21,29588
700,2023-12-01T20,30119
701,2023-12-01T19,30474
702,2023-12-01T18,31565
703,2023-12-01T17,31065
704,2023-12-01T16,30061
705,2023-12-01T15,27555
706,2023-12-01T14,26316
707,2023-12-01T13,26341
708,2023-12-01T12,26198
709,2023-12-01T11,26760
710,2023-12-01T10,27071
711,2023-12-01T09,28263
712,2023-12-01T08,29900
713,2023-12-01T07,31365
714,2023-12-01T06,32516
715,2023-12-01T05,33341
716,2023-12-01T04,33711
717,2023-12-01T03,33912
718,2023-12-01T02,32505
719,2023-12-01T01,31021
720,2023-12-01T00,30669
721,2023-11-30T23,31298
722,2023-11-30T22,31285
723,2023-11-30T21,30891
724,2023-11-30T20,30701
725,2023-11-30T19,30691
726,2023-11-30T18,31473
727,2023-11-30T17,31700
728,2023-11-30T16,30291
729,2023-11-30T15,27927
730,2023-11-30T14,26442
731,2023-11-30T13,26236
732,2023-11-30T12,26722
733,2023-11-30T11,26901
734,2023-11-30T10,27467
735,2023-11-30T09,27975
736,2023-11-30T08,29650
737,2023-11-30T07,31236
738,2023-11-30T06,32369
739,2023-11-30T05,33109
740,2023-11-30T04,33637
741,2023-11-30T03,33954
742,2023-11-30T02,32322
743,2023-11-30T01,30402
744,2023-11-30T00,30299
745,2023-11-29T23,30860
746,2023-11-29T22,31035
747,2023-11-29T21,30966
748,2023-11-29T20,31372
749,2023-11-29T19,31618
750,2023-11-29T18,32010
751,2023-11-29T17,31742
752,2023-11-29T16,30278
753,2023-11-29T15,27901
754,2023-11-29T14,26278
755,2023-11-29T13,25775
756,2023-11-29T12,25881
757,2023-11-29T11,26418
758,2023-11-29T10,27115
759,2023-11-29T09,28111
760,2023-11-29T08,29674
761,2023-11-29T07,31295
762,2023-11-29T06,32337
763,2023-11-29T05,33203
764,2023-11-29T04,33697
765,2023-11-29T03,33851
766,2023-11-29T02,32078
767,2023-11-29T01,29978
768,2023-11-29T00,29194
769,2023-11-28T23,29056
770,2023-11-28T22,28744
771,2023-11-28T21,28619
772,2023-11-28T20,29435
773,2023-11-28T19,30020
774,2023-11-28T18,30951
775,2023-11-28T17,31931
776,2023-11-28T16,31002
777,2023-11-28T15,28435
778,2023-11-28T14,26546
779,2023-11-28T13,26010
780,2023-11-28T12,26128
781,2023-11-28T11,26492
782,2023-11-28T10,27347
783,2023-11-28T09,28078
784,2023-11-28T08,29671
785,2023-11-28T07,31186
786,2023-11-28T06,32324
787,2023-11-28T05,33153
788,2023-11-28T04,33609
789,2023-11-28T03,33836
790,2023-11-28T02,32140
791,2023-11-28T01,30292
792,2023-11-28T00,30005
793,2023-11-27T23,29684
794,2023-11-27T22,29419
795,2023-11-27T21,29132
796,2023-11-27T20,28952
797,2023-11-27T19,29672
798,2023-11-27T18,30618
799,2023-11-27T17,31417
800,2023-11-27T16,30347
801,2023-11-27T15,27745
802,2023-11-27T14,25894
803,2023-11-27T13,25444
804,2023-11-27T12,25309
805,2023-11-27T11,25488
806,2023-11-27T10,25820
807,2023-11-27T09,26575
808,2023-11-27T08,27987
809,2023-11-27T07,29505
810,2023-11-27T06,30325
811,2023-11-27T05,30908
812,2023-11-27T04,31151
813,2023-11-27T03,31263
814,2023-11-27T02,29253
815,2023-11-27T01,26854
816,2023-11-27T00,25244
817,2023-11-26T23,24516
818,2023-11-26T22,24567
819,2023-11-26T21,24741
820,2023-11-26T20,25188
821,2023-11-26T19,25522
822,2023-11-26T18,26265
823,2023-11-26T17,25871
824,2023-11-26T16,25299
825,2023-11-26T15,24446
826,2023-11-26T14,24144
827,2023-11-26T13,24213
828,2023-11-26T12,24386
829,2023-11-26T11,24908
830,2023-11-26T10,25612
831,2023-11-26T09,26370
832,2023-11-26T08,27536
833,2023-11-26T07,28745
834,2023-11-26T06,29458
835,2023-11-26T05,29994
836,2023-11-26T04,30212
837,2023-11-26T03,30121
838,2023-11-26T02,28474
839,2023-11-26T01,25837
840,2023-11-26T00,25005
841,2023-11-25T23,24648
842,2023-11-25T22,24513
843,2023-11-25T21,24128
844,2023-11-25T20,24762
845,2023-11-25T19,25244
846,2023-11-25T18,25724
847,2023-11-25T17,25700
848,2023-11-25T16,25374
849,2023-11-25T15,24490
850,2023-11-25T14,23877
851,2023-11-25T13,23795
852,2023-11-25T12,23904
853,2023-11-25T11,24592
854,2023-11-25T10,25447
855,2023-11-25T09,26252
856,2023-11-25T08,27577
857,2023-11-25T07,28904
858,2023-11-25T06,29448
859,2023-11-25T05,29914
860,2023-11-25T04,30178
861,2023-11-25T03,30377
862,2023-11-25T02,28892
863,2023-11-25T01,26761
864,2023-11-25T00,25355
865,2023-11-24T23,24469
866,2023-11-24T22,23914
867,2023-11-24T21,24199
868,2023-11-24T20,24768
869,2023-11-24T19,25232
870,2023-11-24T18,26163
871,2023-11-24T17,26130
872,2023-11-24T16,25859
873,2023-11-24T15,24757
874,2023-11-24T14,23871
875,2023-11-24T13,23570
876,2023-11-24T12,23894
877,2023-11-24T11,24153
878,2023-11-24T10,24855
879,2023-11-24T09,25495
880,2023-11-24T08,26419
881,2023-11-24T07,27064
882,2023-11-24T06,26950
883,2023-11-24T05,27271
884,2023-11-24T04,27694
885,2023-11-24T03,28337
886,2023-11-24T02,27680
887,2023-11-24T01,26282
888,2023-11-24T00,26011
889,2023-11-23T23,25903
890,2023-11-23T22,24371
891,2023-11-23T21,23968
892,2023-11-23T20,24512
893,2023-11-23T19,24717
894,2023-11-23T18,24779
895,2023-11-23T17,25237
896,2023-11-23T16,25028
897,2023-11-23T15,24302
898,2023-11-23T14,23907
899,2023-11-23T13,23825
900,2023-11-23T12,24471
901,2023-11-23T11,25012
902,2023-11-23T10,26072
903,2023-11-23T09,27068
904,2023-11-23T08,28507
905,2023-11-23T07,29945
906,2023-11-23T06,30759
907,2023-11-23T05,31605
908,2023-11-23T04,32344
909,2023-11-23T03,32948
910,2023-11-23T02,32239
911,2023-11-23T01,31026
912,2023-11-23T00,30021
913,2023-11-22T23,28237
914,2023-11-22T22,28368
915,2023-11-22T21,28334
916,2023-11-22T20,29115
917,2023-11-22T19,29919
918,2023-11-22T18,30068
919,2023-11-22T17,29543
920,2023-11-22T16,29153
921,2023-11-22T15,27427
922,2023-11-22T14,25834
923,2023-11-22T13,25573
924,2023-11-22T12,25681
925,2023-11-22T11,26322
926,2023-11-22T10,26786
927,2023-11-22T09,27434
928,2023-11-22T08,28878
929,2023-11-22T07,30434
930,2023-11-22T06,31345
931,2023-11-22T05,32153
932,2023-11-22T04,32764
933,2023-11-22T03,33180
934,2023-11-22T02,32293
935,2023-11-22T01,30951
936,2023-11-22T00,30639
937,2023-11-21T23,30058
938,2023-11-21T22,29297
939,2023-11-21T21,29484
940,2023-11-21T20,29717
941,2023-11-21T19,29913
942,2023-11-21T18,30428
943,2023-11-21T17,29743
944,2023-11-21T16,29202
945,2023-11-21T15,27226
946,2023-11-21T14,25631
947,2023-11-21T13,25125
948,2023-11-21T12,25195
949,2023-11-21T11,25649
950,2023-11-21T10,26593
951,2023-11-21T09,27416
952,2023-11-21T08,29801
953,2023-11-21T07,30183
954,2023-11-21T06,31200
955,2023-11-21T05,32040
956,2023-11-21T04,32638
957,2023-11-21T03,33185
958,2023-11-21T02,31668
959,2023-11-21T01,29505
960,2023-11-21T00,28493
961,2023-11-20T23,27957
962,2023-11-20T22,27372
963,2023-11-20T21,27617
964,2023-11-20T20,28359
965,2023-11-20T19,29043
966,2023-11-20T18,29470
967,2023-11-20T17,29201
968,2023-11-20T16,28169
969,2023-11-20T15,26759
970,2023-11-20T14,25228
971,2023-11-20T13,24708
972,2023-11-20T12,24905
973,2023-11-20T11,25013
974,2023-11-20T10,25601
975,2023-11-20T09,26145
976,2023-11-20T08,27263
977,2023-11-20T07,28636
978,2023-11-20T06,29353
979,2023-11-20T05,30100
980,2023-11-20T04,30567
981,2023-11-20T03,30668
982,2023-11-20T02,29113
983,2023-11-20T01,26289
984,2023-11-20T00,24367
985,2023-11-19T23,24657
986,2023-11-19T22,25209
987,2023-11-19T21,25099
988,2023-11-19T20,25345
989,2023-11-19T19,25485
990,2023-11-19T18,25562
991,2023-11-19T17,25011
992,2023-11-19T16,24832
993,2023-11-19T15,24053
994,2023-11-19T14,23723
995,2023-11-19T13,23851
996,2023-11-19T12,24225
997,2023-11-19T11,24634
